Nota fiscal;Fornecedor;Data da compra;Produto;Quantidade
538;2;10/05/2014;201;30
538;2;10/05/2014;203;20
538;2;10/05/2014;204;15
538;2;10/05/2014;205;16
157;2;15/06/2014;206;7
157;2;15/06/2014;207;7
336;2;20/07/2014;201;8
336;2;20/07/2014;205;11
336;2;20/07/2014;206;9
336;2;20/07/2014;207;10
100;1;25/01/2014;501;5
100;1;25/01/2014;502;6
500;1;24/04/2014;501;6
500;1;24/04/2014;502;5
501;1;20/06/2014;502;10
733;4;01/01/2014;208;8
733;4;01/01/2014;302;5
733;4;01/01/2014;208;4
888;4;26/03/2014;302;9
888;4;26/03/2014;208;15
987;4;20/05/2014;208;8
987;4;20/05/2014;301;5
987;4;20/05/2014;302;4
236;4;25/06/2014;302;9
222;0;12/05/2014;601;10
100;0;01/07/2014;601;9
100;0;01/07/2014;602;12
998;3;10/04/2014;703;8
998;3;02/06/2014;705;6
999;3;02/06/2014;703;12
