Cliente;Data de venda;Produto;Quantidade;Modo de pagamento
3212;08/06/2014;120;5;F
4565;11/06/2014;121;4;F
1209;12/06/2014;122;2;F
1105;07/06/2014;123;5;F
6754;14/06/2014;124;4;F
2112;13/06/2014;422;7;F
3658;21/06/2014;125;2;F
1209;01/06/2014;423;3;F
4565;08/06/2014;215;6;F
;17/06/2014;216;4;C
;24/06/2014;217;9;C
;12/06/2014;218;6;C
;15/06/2014;219;6;$
;20/06/2014;300;12;$
;08/06/2014;146;3;X
;11/06/2014;120;7;X
;12/06/2014;121;4;D
;07/06/2014;122;5;X
;14/06/2014;123;5;C
;13/06/2014;124;7;X
;21/06/2014;422;4;T
;01/06/2014;125;11;$
;08/06/2014;423;8;T
;17/06/2014;215;3;T
;24/06/2014;216;6;D
;12/06/2014;423;3;D
;15/06/2014;122;5;D
;20/06/2014;300;9;T
;25/06/2014;216;4;D
;21/06/2014;423;3;$
