Código;Produto;Receita bruta;Lucro
6001;Pacote Chips;R$ 80,64;R$ 30,24
3001;Garrafa de Água;R$ 51,30;R$ 24,30
1003;Salgado assado;R$ 58,50;R$ 19,50
2003;Coca-Cola 2l;R$ 61,88;R$ 17,68
8004;Biscoito Wafer;R$ 65,00;R$ 15,00
7004;Bandeja Queijo 100g;R$ 59,04;R$ 11,84
5001;Caixa de bombom;R$ 15,30;R$ 6,30
8002;Biscoito Maxi;R$ 30,00;R$ 6,00
4001;Tortuguita;R$ 17,92;R$ 5,12
7001;Margarina Qualy;R$ 12,00;R$ 4,00
1002;Salgado frito;R$ 9,60;R$ 3,60
2004;Suco dell Valle Lata;R$ 9,75;R$ 2,25
8001;Biscoito Água e Sal;R$ 6,24;R$ 1,44
7003;Bandeja Presunto 100g;R$ 6,88;R$ 1,38
4002;Bala Halls;R$ 3,92;R$ 1,12
1001;Farinha de Trigo;R$ 11,00;R$ 1,00
2001;Coca-Cola lata;R$ 0,00;R$ 0,00
2002;Coca-Cola 600ml;R$ 0,00;R$ 0,00
7002;Bandeja Peito de Peru 100g;R$ 0,00;R$ 0,00
8003;Biscoito Cookies;R$ 0,00;R$ 0,00
