Código;Produto;Quantidade em estoque;Observações
4002;Bala Halls;27;
7002;Bandeja Peito de Peru 100g;25;
7003;Bandeja Presunto 100g;25;
7004;Bandeja Queijo 100g;19;
8003;Biscoito Cookies;32;
8002;Biscoito Maxi;25;
8004;Biscoito Wafer;40;
8001;Biscoito Água e Sal;51;
5001;Caixa de bombom;23;
2003;Coca-Cola 2l;22;
2002;Coca-Cola 600ml;33;
2001;Coca-Cola lata;44;
1001;Farinha de Trigo;10;
3001;Garrafa de Água;25;COMPRAR MAIS
7001;Margarina Qualy;22;
6001;Pacote Chips;6;COMPRAR MAIS
1003;Salgado assado;25;
1002;Salgado frito;30;
2004;Suco dell Valle Lata;37;
4001;Tortuguita;13;COMPRAR MAIS
