Código;Produto;Quantidade em estoque;Observações
301;Bandeja presunto fatiado;14;
302;Bandeja queijo fatiado;30;
303;Bandeja salame fatiado;23;
202;Biscoito doce;53;
201;Biscoito salgado;40;
109;Cerveja lata;25;
104;Cerveja long neck;67;
403;Docinho;0;COMPRAR MAIS
103;Refrigerante 2l;47;
102;Refrigerante 600ml;19;
101;Refrigerante lata;16;
402;Salgado assado;12;
401;Salgado frito;18;
105;Suco de laranja garrafa;4;COMPRAR MAIS
107;Água 2l;75;
106;Água 500ml;80;
108;Água de coco garrafa;2;COMPRAR MAIS
