Código;Produto;Receita bruta;Lucro
5;Biscoito 03;R$ 230,85;R$ 76,95
4;Biscoito 02;R$ 114,40;R$ 29,60
8;Bolo de cenoura;R$ 76,50;R$ 25,50
17;Brigadeiro;R$ 29,92;R$ 12,32
9;Bolo de chocolate;R$ 17,00;R$ 7,00
13;Pastel assado;R$ 12,75;R$ 5,25
20;Suco de maracujá;R$ 16,80;R$ 4,80
11;Pastel frito;R$ 15,40;R$ 4,40
6;Suco de limão;R$ 25,20;R$ 4,20
1;Pão com presunto;R$ 19,80;R$ 1,80
12;Café;R$ 7,80;R$ 1,80
18;Doce de leite;R$ 8,91;R$ 0,81
2;Pão com mortadela;R$ 8,25;R$ 0,75
10;Coxinha;R$ 3,60;R$ 0,60
7;Água com gás 500ml;R$ 7,90;R$ 0,40
3;Biscoito 01;R$ 0,00;R$ 0,00
14;Bauru;R$ 0,00;R$ 0,00
15;Toddynho;R$ 0,00;R$ 0,00
16;Leite;R$ 0,00;R$ 0,00
19;Pão com presunto e mussarela;R$ 0,00;R$ 0,00
