Nota fiscal;Fornecedor;Data da compra;Produto;Quantidade
1153;222;18/06/2014;3001;10
1153;222;18/06/2014;3010;10
1153;222;18/06/2014;3013;5
2032;765;20/06/2014;3205;10
2032;765;20/06/2014;3206;20
2032;765;20/06/2014;4021;5
2032;765;20/06/2014;4022;15
3653;100;21/06/2014;5112;12
3653;100;21/06/2014;5117;5
3653;100;21/06/2014;5302;5
4292;490;22/06/2014;7101;15
4292;490;22/06/2014;7109;5
4292;490;22/06/2014;7110;10
4999;500;23/06/2014;9001;10
4999;500;23/06/2014;9004;20
4999;500;23/06/2014;9005;10
4999;500;23/06/2014;9101;15
4999;500;23/06/2014;9102;5
5331;765;24/06/2014;10320;5
5331;765;24/06/2014;10321;5
5331;765;24/06/2014;4021;10
5331;765;24/06/2014;4022;10
6020;222;26/06/2014;3010;15
6020;222;26/06/2014;3013;8
8875;490;28/06/2014;7101;20
8875;490;28/06/2014;7109;15
8875;490;28/06/2014;7110;5
9387;500;30/06/2014;9001;14
9387;500;30/06/2014;9005;25
9387;500;30/06/2014;9101;13
