Cliente;Data de venda;Produto;Quantidade;Modo de pagamento
7203;02/06/2014;3206;4;F
7203;02/06/2014;4021;1;F
7203;02/06/2014;5117;1;F
10950;03/06/2014;3010;2;F
10950;03/06/2014;9001;1;F
2400;04/06/2014;3001;2;F
2400;04/06/2014;5302;2;F
2400;04/06/2014;7109;7;F
5378;07/06/2014;4021;3;F
5378;07/06/2014;4022;5;F
5378;07/06/2014;9005;6;F
5378;07/06/2014;9101;2;F
;10/06/2014;3013;2;$
;10/06/2014;3205;2;$
;10/06/2014;3206;1;$
9999;14/06/2014;9001;2;F
9999;14/06/2014;9101;6;F
9999;14/06/2014;9102;1;F
3241;15/06/2014;7101;2;F
3241;15/06/2014;3010;1;F
;17/06/2014;5112;3;C
;17/06/2014;3001;1;C
1;18/06/2014;3206;18;F
1;18/06/2014;4022;12;F
1;18/06/2014;10320;1;F
2378;21/06/2014;7109;3;F
2378;21/06/2014;5302;11;F
3241;26/06/2014;3001;25;F
3241;26/06/2014;9102;3;F
3241;26/06/2014;10321;2;F
;29/06/2014;3013;3;D
;29/06/2014;3206;17;D
;29/06/2014;9005;5;D
